Frame;Time_s;Fx_N;Fy_N;Fz_N;Mx_Nm;My_Nm;Mz_Nm;COPx_mm;COPy_mm
1446;1.445;0.167;0.14;2.817;0.0066;0.0141;-0.0033;0.02;2.82
1447;1.446;2.445;-1.544;4.291;0.0543;-0.0279;0.0012;4.312;-8.836
1448;1.447;0.251;1.385;2.487;0.0197;0.0361;-0.0101;2.587;2.441
1449;1.448;-0.453;-1.198;4.495;-0.0125;-0.0363;0.0013;2.332;-2.006
1450;1.449;0.925;0.581;3.687;0.012;0.0239;-0.0101;-0.188;-2.345
1451;1.45;0.799;-1.721;8.885;0.0088;-0.0326;0.0056;4.27;0.696
1452;1.451;0.128;-1.066;10.301;0.0142;-0.0274;0.0062;2.831;1.571
1453;1.452;-0.796;0.966;4.363;-0.0159;0.0358;0.0014;2.822;4.627
1454;1.453;-0.629;-1.227;5.143;-0.0139;-0.0212;-0.0077;2.758;2.819
1455;1.454;0.143;-1.876;6.398;-0.0169;-0.0366;-0.0024;-8.286;-3.181
1456;1.455;-0.816;-0.159;-3.219;-0.025;-0.0079;0.0041;1.689;-6.42
1457;1.456;2.007;-0.237;6.973;0.0176;-0.0205;-0.0001;-3.996;2.101
1458;1.457;1.347;-1.38;1.691;0.0267;-0.0358;0.0033;-4.888;-4.264
1459;1.458;1.639;0.396;1.847;0.0222;0.0034;-0.0052;-4.846;3.806
1460;1.459;3.049;0.658;5.954;0.0579;0.0139;-0.0029;4.546;3.957
1461;1.46;2.377;0.236;-0.258;0.0568;-0.0024;0.001;0.445;1.956
1462;1.461;2.135;1.966;3.941;0.0383;0.0551;0.0095;-1.338;-7.062
1463;1.462;0.564;-0.709;4.57;0.0124;-0.0376;-0.0021;-0.164;5.498
1464;1.463;-0.282;1.518;5.56;0.0092;0.038;-0.0045;-0.69;3.826
1465;1.464;3.459;-0.172;9.378;0.0536;-0.0027;0.0053;1.992;1.924
1466;1.465;-1.004;-1.664;2.566;-0.0272;-0.0378;0.0009;-7.564;0.995
1467;1.466;-0.922;-1.599;5.681;-0.0168;-0.0335;-0.0037;2.633;-0.26
1468;1.467;-1.297;-1.916;6.727;-0.0395;-0.0439;-0.0055;2.689;0.296
1469;1.468;0.33;-2.386;5.284;0.0035;-0.058;0.0049;-13.935;0.501
1470;1.469;0.634;0.341;4.715;0.015;0.007;-0.0025;3.552;-0.485
1471;1.47;1.551;-2.075;1.779;0.0341;-0.0382;-0.0048;-9.762;-5.593
1472;1.471;-0.331;-0.475;-4.087;0.0119;0.0011;0.005;-13.369;-3.618
1473;1.472;-2.595;0.039;2.428;-0.0527;-0.0087;0.0053;10.688;0.825
1474;1.473;0.484;-0.361;6.502;0.0063;-0.0176;-0.0075;-15.505;-6.444
1475;1.474;1.467;0.964;1.662;0.0331;0.0354;0.0024;-2.265;0.287
1476;1.475;0.054;-1.492;5.467;0.0164;-0.0329;-0.0054;-10.143;4.245
1477;1.476;-0.194;-1.178;11.354;0.0062;-0.016;0.0025;-2.252;0.242
1478;1.477;0.85;1.18;7.523;0.0319;0.0272;0.0067;1.067;-7.746
1479;1.478;2.155;1.133;5.054;0.0445;0.0242;0.0057;0.307;-0.18
1480;1.479;-0.093;-0.185;6.413;-0.0023;-0.0108;0.0065;2.852;-1.579
1481;1.48;-2.124;-1.3;3.391;-0.0482;-0.0212;-0.002;4.365;-5.787
1482;1.481;-0.841;-0.992;8.512;-0.0292;-0.0077;-0.005;4.002;4.107
1483;1.482;-0.243;0.777;4.869;-0.0129;0.0083;0.0019;6.078;-7.058
1484;1.483;-2.696;2.0;4.877;-0.0756;0.0507;-0.0093;-2.52;-1.421
1485;1.484;1.159;-0.88;-2.353;0.0329;-0.0128;-0.0069;3.314;-5.175
1486;1.485;-1.146;-0.31;2.625;-0.0186;0.0002;-0.0018;-11.91;-0.818
1487;1.486;0.767;-1.245;2.053;0.0084;-0.0257;-0.0027;-6.279;5.145
1488;1.487;0.296;1.165;4.069;0.0166;0.0214;-0.0021;15.334;-0.746
1489;1.488;-0.463;-0.007;-0.381;-0.0058;0.0082;0.0028;-5.585;-0.439
1490;1.489;2.446;0.421;8.256;0.0622;-0.0159;0.002;7.801;11.932
1491;1.49;-0.839;-0.887;8.85;-0.0165;-0.0332;0.0068;0.94;-8.318
1492;1.491;-1.006;1.341;5.83;-0.0319;0.0164;0.0108;-2.809;-0.688
1493;1.492;0.442;0.526;8.772;0.0153;0.0007;-0.0005;-4.915;-6.612
1494;1.493;1.262;1.074;4.802;0.0325;0.0485;0.0008;-6.971;-1.227
1495;1.494;-0.001;-0.432;3.013;0.0088;0.0038;0.0019;-7.974;-2.721
1496;1.495;-1.471;-0.836;0.206;-0.0355;-0.0159;0.0045;-2.765;5.176
1497;1.496;1.039;0.341;6.769;0.0301;0.0043;-0.0024;-1.538;-3.573
1498;1.497;0.908;0.245;4.923;-0.0004;0.022;-0.0038;-15.925;5.188
1499;1.498;3.114;1.359;7.02;0.0587;0.0068;0.0038;-0.327;-3.518
1500;1.499;-0.329;1.325;4.331;-0.0281;0.0252;0.0004;-0.983;-0.733
1501;1.5;0.322;-1.588;1.834;-0.0004;-0.0412;0.0008;0.155;4.33
1502;1.501;-0.849;-2.297;1.933;-0.019;-0.0645;0.0067;4.401;-6.676
1503;1.502;-2.231;1.361;5.118;-0.0371;0.0202;-0.0042;-2.451;-5.022
1504;1.503;0.114;-0.569;6.38;-0.0098;0.0086;-0.0004;5.663;0.226
1505;1.504;1.277;-0.607;5.627;0.0407;-0.0124;-0.0022;-0.698;-5.736
1506;1.505;-1.519;0.74;3.913;-0.0276;0.0278;-0.0088;-1.902;7.368
1507;1.506;-1.011;0.079;9.079;-0.0272;-0.0068;0.005;1.609;5.287
1508;1.507;-1.762;-0.025;5.134;-0.0307;0.0036;-0.0025;-10.798;0.168
1509;1.508;2.012;0.463;3.099;0.0464;0.0125;0.0021;0.545;-3.118
1510;1.509;-0.949;-0.455;2.911;-0.0204;0.0012;0.0065;-4.267;0.589
1511;1.51;0.87;-0.216;3.361;0.0176;-0.0086;-0.0025;-5.035;-0.67
1512;1.511;-1.297;-0.597;5.491;-0.0275;-0.0226;-0.0013;2.599;0.29
1513;1.512;0.113;0.293;4.512;-0.001;-0.0014;0.0006;3.887;6.161
1514;1.513;-0.938;-0.717;5.552;-0.0244;-0.0143;-0.0055;1.3;-11.976
1515;1.514;-3.521;1.684;3.196;-0.0707;0.0368;0.0021;5.894;-7.706
1516;1.515;0.117;0.46;6.646;-0.0135;0.0133;-0.0055;-5.182;-2.695
1517;1.516;0.792;-0.151;7.116;0.0251;-0.0065;0.0024;1.944;-12.502
1518;1.517;-3.126;1.112;7.611;-0.0614;0.0177;-0.005;2.824;1.079
1519;1.518;-0.262;0.347;6.864;0.0049;0.0078;0.0014;3.835;5.768
1520;1.519;-0.649;0.944;2.461;-0.0116;0.0308;-0.0005;-8.051;4.396
1521;1.52;-1.617;0.652;4.96;-0.0417;0.0248;-0.0067;-7.81;3.095
1522;1.521;-0.377;-1.573;2.385;-0.0038;-0.0078;-0.0012;-3.751;6.851
1523;1.522;-2.909;1.356;7.238;-0.0684;0.0198;0.0016;-8.498;5.165
1524;1.523;0.376;1.143;5.619;0.0147;0.0294;-0.0038;8.284;-3.403
1525;1.524;1.779;-0.457;4.838;0.0488;-0.003;0.0006;1.153;-4.246
1526;1.525;-1.893;2.964;4.289;-0.0311;0.0595;-0.0029;-5.18;-1.452
1527;1.526;-0.098;-1.532;1.329;0.009;-0.0066;-0.0011;-6.432;3.168
1528;1.527;2.138;1.224;5.359;0.0333;0.0278;-0.008;7.1;2.719
1529;1.528;0.184;-0.35;13.432;-0.0069;0.006;-0.0023;9.782;6.693
1530;1.529;-0.778;-0.087;5.832;-0.0283;-0.0074;-0.0028;2.958;-8.33
1531;1.53;-1.366;1.048;2.01;0.0048;0.0209;-0.0018;-3.463;1.652
1532;1.531;0.267;1.22;6.588;0.0107;0.0228;0.0104;-6.665;0.032
1533;1.532;-0.199;0.972;3.849;0.0031;0.0135;0.0025;6.974;-4.193
1534;1.533;0.947;-1.624;4.683;0.0282;-0.0163;-0.0062;2.011;-6.343
1535;1.534;-2.28;1.279;4.276;-0.057;0.0282;0.0009;-1.427;0.176
1536;1.535;1.616;-0.776;3.623;0.0512;-0.0246;0.0082;1.716;9.363
1537;1.536;-0.605;-0.188;7.932;-0.0117;-0.0055;0.0037;7.598;-4.155
1538;1.537;0.964;0.22;1.167;0.0125;0.0103;0.0029;-5.396;-1.074
1539;1.538;-1.084;-1.629;3.56;-0.0483;-0.0435;-0.003;9.827;-2.469
1540;1.539;-1.947;1.338;7.412;-0.0487;0.0287;0.0068;0.986;-2.854
1541;1.54;-0.851;-0.234;8.599;-0.0088;0.0115;0.01;-9.443;0.572
1542;1.541;-1.432;-1.309;5.88;-0.0276;-0.0332;-0.0108;0.307;-3.388
1543;1.542;-0.562;-0.75;9.773;-0.0183;-0.0349;0.0016;1.571;1.524
1544;1.543;0.972;-1.505;11.087;0.0291;-0.0252;-0.0076;5.03;-2.017
1545;1.544;1.618;-1.383;-2.083;0.0218;-0.0289;0.0009;1.74;13.78
1546;1.545;0.305;0.435;0.218;-0.0005;0.0214;-0.0063;-8.244;0.231
1547;1.546;-0.811;0.599;4.223;-0.0083;-0.0036;-0.0054;-1.601;3.374
1548;1.547;-0.677;1.539;0.337;-0.0297;0.0232;-0.0073;1.455;7.916
1549;1.548;0.888;2.746;7.518;0.0121;0.0566;-0.0;10.39;-0.922
1550;1.549;1.704;1.019;5.305;0.0473;0.0249;-0.0009;-2.491;-1.374
1551;1.55;-0.485;-2.856;2.557;-0.0135;-0.0531;0.0014;3.76;-1.106
1552;1.551;-0.188;0.853;5.405;0.001;0.013;0.0016;-8.432;3.427
1553;1.552;-1.127;0.352;6.83;-0.0337;0.0208;-0.0001;-1.519;9.612
1554;1.553;0.31;0.813;8.644;0.0125;0.0186;0.0003;-3.362;-1.188
1555;1.554;1.435;1.086;0.32;0.0267;0.0124;0.0031;5.331;1.387
1556;1.555;-4.359;0.25;9.126;-0.0904;0.0089;-0.001;-8.734;8.362
1557;1.556;0.383;1.153;2.956;0.0398;0.0234;0.0054;2.375;1.129
1558;1.557;-0.826;0.891;2.367;-0.0323;0.0108;-0.0008;-1.696;-1.756
1559;1.558;-3.492;2.585;6.919;-0.0712;0.0552;0.001;2.235;-7.001
1560;1.559;0.47;-0.734;5.286;0.031;-0.0184;0.0043;2.792;-5.226
1561;1.56;-0.134;-1.14;1.156;-0.0091;-0.0079;0.0113;3.831;2.618
1562;1.561;0.554;-0.203;4.121;0.0119;-0.0091;0.0079;-3.978;-1.357
1563;1.562;-2.049;3.041;2.208;-0.0445;0.0631;0.0052;2.205;5.018
1564;1.563;3.206;-2.377;6.646;0.0456;-0.0513;-0.0032;-1.116;-7.31
1565;1.564;0.166;-0.227;11.549;-0.0003;-0.0064;-0.0066;12.73;4.554
1566;1.565;-0.515;-1.326;1.939;-0.0088;-0.023;0.012;-7.495;-0.451
1567;1.566;2.286;-0.093;9.797;0.0359;-0.0069;-0.0125;2.676;-1.052
1568;1.567;0.978;0.503;4.395;0.0198;0.0149;0.0;4.797;-2.74
1569;1.568;1.249;-1.102;1.585;0.0308;-0.0176;0.004;10.253;9.256
1570;1.569;1.745;1.495;11.041;0.0394;0.0204;0.008;-1.878;8.9
1571;1.57;-3.107;2.444;5.439;-0.0594;0.0662;0.0003;-0.577;-8.044
1572;1.571;2.504;-0.522;5.807;0.0432;-0.0199;-0.0007;-6.515;-0.157
1573;1.572;-0.521;1.072;2.862;-0.0131;0.0373;-0.0014;3.779;2.532
1574;1.573;0.428;-1.061;8.72;0.0235;-0.0282;0.0013;-8.978;-3.194
1575;1.574;1.384;-1.246;3.619;0.041;-0.0186;0.0005;-0.523;-2.783
1576;1.575;-1.068;0.935;4.97;-0.0198;0.0001;0.0037;1.073;0.16
1577;1.576;0.477;0.93;6.53;0.0099;0.0185;0.0063;-3.518;-18.74
1578;1.577;1.144;-1.291;9.246;0.0095;-0.0073;0.0011;8.011;-5.435
1579;1.578;-0.063;0.77;7.112;0.0085;0.0246;-0.0037;0.505;10.725
1580;1.579;0.742;1.724;5.925;0.0103;0.0358;-0.0055;7.746;4.369
1581;1.58;-2.409;-0.653;4.799;-0.0457;0.0145;-0.0019;-4.234;-10.269
1582;1.581;-1.788;-1.847;2.528;-0.0247;-0.0431;0.0102;-2.322;-4.606
1583;1.582;-1.725;0.385;8.12;-0.0362;0.0058;0.0027;5.558;-4.031
1584;1.583;0.557;1.276;9.296;0.0125;0.0324;0.0011;0.398;8.002
1585;1.584;5.614;0.01;6.942;0.1342;0.0074;-0.0033;-3.634;-1.342
1586;1.585;0.394;0.735;7.486;0.0193;0.0177;0.0008;4.727;-4.6
1587;1.586;-0.222;-0.618;4.785;0.0024;-0.0055;-0.0004;-3.761;4.197
1588;1.587;-0.097;0.335;5.449;0.0052;0.0045;-0.0052;8.666;9.113
1589;1.588;1.475;-0.294;1.245;0.0421;-0.0078;0.0046;-6.893;-5.217
1590;1.589;1.071;0.247;9.074;0.0146;0.0117;-0.0033;-0.946;10.104
1591;1.59;-1.72;0.874;11.674;-0.0331;0.0265;-0.0021;-1.068;3.629
1592;1.591;1.526;-0.044;1.381;0.0399;0.0052;-0.0012;6.318;-8.022
1593;1.592;-0.036;-0.133;1.306;0.0015;-0.0093;-0.0069;3.212;2.864
1594;1.593;1.229;-1.824;6.285;0.0267;-0.0279;0.0056;1.325;-3.037
1595;1.594;-2.998;-2.239;7.786;-0.0693;-0.0436;-0.0061;-1.15;0.086
1596;1.595;-2.332;-0.674;1.804;-0.041;-0.0214;0.0143;-0.969;5.665
1597;1.596;0.895;-0.031;5.744;0.0228;0.0094;0.0035;-6.855;0.995
1598;1.597;-2.701;-0.466;5.368;-0.063;-0.0181;0.0001;0.682;-2.738
1599;1.598;0.585;0.019;3.256;0.0022;0.0002;0.0003;-2.947;-4.025
1600;1.599;0.507;-0.38;4.295;-0.0065;-0.0099;0.0061;-1.436;0.883
1601;1.6;0.219;-0.538;5.253;0.0059;-0.0128;0.0021;6.204;4.046
1602;1.601;0.533;-0.751;3.941;0.0064;-0.0228;0.0028;-2.799;-1.83
1603;1.602;0.398;-0.139;8.468;0.007;-0.0049;0.0002;1.966;5.692
1604;1.603;0.671;0.835;7.225;-0.0009;0.0256;-0.0006;-5.257;0.539
1605;1.604;-0.609;-0.355;-0.7;-0.0216;-0.0199;0.0001;0.578;3.843
1606;1.605;-0.033;-1.968;7.504;0.0046;-0.0565;-0.0058;-4.991;-5.126
1607;1.606;4.394;-1.039;1.341;0.0908;-0.0132;0.0081;3.03;-2.893
1608;1.607;1.705;-1.076;-0.435;0.0194;-0.0192;0.0028;-6.632;-7.99
1609;1.608;0.918;0.112;8.228;0.018;-0.0083;-0.0038;-8.535;2.502
1610;1.609;0.588;1.162;4.188;0.0061;0.0295;-0.0001;0.846;-4.192
1611;1.61;-1.091;-3.295;5.159;-0.016;-0.0781;0.0032;-5.186;1.034
1612;1.611;0.34;-0.921;6.33;-0.0041;-0.0052;0.0028;-6.799;-10.433
1613;1.612;-0.37;-0.855;1.307;0.0013;-0.009;0.0018;-7.887;-6.388
1614;1.613;1.419;2.608;10.721;0.0176;0.0482;-0.0053;8.145;1.993
1615;1.614;-1.373;-0.874;1.84;-0.0293;-0.0262;0.0033;-8.102;4.044
1616;1.615;-3.545;0.608;12.634;-0.0914;0.0032;0.0118;-3.568;-9.481
1617;1.616;-0.841;1.795;6.246;-0.0147;0.0457;0.0005;1.158;9.309
1618;1.617;1.045;-0.597;6.38;0.0211;-0.0221;0.0013;-3.739;4.019
1619;1.618;3.688;-0.216;4.964;0.0764;-0.0081;-0.0003;-4.133;-4.498
1620;1.619;1.538;-0.088;4.581;0.0404;-0.0053;-0.0005;-0.133;-6.533
1621;1.62;-1.468;0.227;2.041;-0.0306;-0.0177;-0.0042;0.852;2.591
1622;1.621;-0.329;-0.991;4.31;-0.005;-0.0186;0.0071;-12.505;-3.7
1623;1.622;-1.426;0.13;3.007;-0.0213;0.0078;0.0132;2.464;-0.023
1624;1.623;-0.28;-0.669;5.944;0.0072;-0.0088;-0.0066;2.879;-1.079
1625;1.624;-1.346;-0.884;2.168;-0.046;-0.0203;0.0122;1.908;-3.922
1626;1.625;-2.466;1.745;6.96;-0.0685;0.0298;0.0017;3.527;-4.967
1627;1.626;0.667;-1.81;2.344;0.0077;-0.0146;-0.0077;-9.408;-0.995
1628;1.627;0.294;1.126;3.657;-0.0028;0.0112;-0.0013;5.127;1.392
1629;1.628;-0.256;-0.258;7.872;-0.013;-0.0048;-0.0001;-1.135;1.032
1630;1.629;0.519;-0.106;4.608;0.0092;-0.0132;-0.0049;-5.135;-1.193
1631;1.63;3.05;-0.801;8.023;0.0525;-0.0195;0.0029;-7.56;4.051
1632;1.631;0.176;0.139;5.415;0.0191;0.0148;0.0004;1.317;4.141
1633;1.632;-0.568;0.687;0.581;-0.0147;0.0029;-0.0002;-3.159;3.21
1634;1.633;1.299;-1.298;1.321;0.0187;-0.0211;-0.0019;-3.312;-7.335
1635;1.634;-2.463;0.644;1.717;-0.0546;0.0083;-0.0144;0.669;-4.271
1636;1.635;1.13;-2.542;-1.337;0.0161;-0.0431;0.0072;5.308;2.705
1637;1.636;-1.162;-1.056;4.901;-0.0123;-0.0101;-0.001;0.093;3.952
1638;1.637;-1.225;-1.626;7.981;-0.0229;-0.0438;-0.0028;-9.521;4.04
1639;1.638;0.165;-0.385;8.24;-0.0122;-0.0084;0.003;5.699;-0.183
1640;1.639;2.509;0.695;0.643;0.048;0.0168;-0.0061;-1.482;8.717
1641;1.64;-1.118;-0.936;3.744;-0.0136;-0.0301;-0.0004;-0.508;-6.108
1642;1.641;1.429;0.275;3.355;0.0364;-0.0033;0.0066;-6.705;-5.262
1643;1.642;0.567;-0.256;-0.821;0.0073;-0.004;0.0021;3.416;-10.005
1644;1.643;-2.086;1.468;-1.67;-0.0442;0.0213;-0.0043;10.946;5.191
1645;1.644;1.374;-2.239;4.292;0.0232;-0.0445;0.0041;-1.629;3.671
1646;1.645;-1.239;-2.149;5.55;-0.0252;-0.0386;-0.0076;-1.688;-3.157
1647;1.646;-2.205;-0.403;3.64;-0.0558;-0.0136;-0.0016;-3.876;2.276
1648;1.647;-1.187;-2.419;0.047;-0.0206;-0.0729;0.0019;-2.24;5.344
1649;1.648;-1.091;0.077;9.155;-0.0013;-0.0122;0.0014;-4.064;-2.78
1650;1.649;0.888;0.129;5.387;0.0247;0.0001;0.0012;-6.926;-1.649
1651;1.65;-1.098;-1.189;4.903;-0.0241;-0.0187;0.0018;-3.011;2.237
1652;1.651;2.24;-1.062;2.153;0.0294;-0.023;0.0024;-6.27;-9.62
1653;1.652;0.332;0.212;1.969;0.0047;0.0023;-0.0053;0.66;-1.309
1654;1.653;-1.078;0.396;11.342;-0.0266;-0.0155;0.0014;2.489;-2.603
1655;1.654;-1.252;-0.38;11.429;-0.0301;-0.0091;-0.0004;10.939;3.801
1656;1.655;0.342;0.616;7.282;0.0059;0.0195;-0.0032;15.146;-0.436
1657;1.656;-3.044;-0.886;2.437;-0.0668;-0.0074;0.0023;-5.655;1.843
1658;1.657;-3.265;0.203;-1.144;-0.0588;0.0174;-0.0039;-11.777;0.533
1659;1.658;-1.327;1.235;4.221;-0.0149;0.0085;0.0028;9.595;-2.414
1660;1.659;0.944;1.119;2.404;0.0117;0.0281;0.0024;2.198;3.402
1661;1.66;0.269;-1.254;4.761;0.0067;-0.0267;0.0059;-8.271;2.118
1662;1.661;0.033;-1.056;6.989;0.0099;-0.0289;-0.0028;-2.919;-0.501
1663;1.662;-0.321;-1.053;1.976;-0.0026;-0.0025;0.0078;2.981;-4.26
1664;1.663;-3.266;0.161;4.725;-0.0667;0.0117;-0.0011;-2.168;-2.797
1665;1.664;-0.488;0.447;4.204;-0.01;0.0081;-0.0096;1.812;5.579
1666;1.665;-2.663;-1.542;4.305;-0.055;-0.0213;-0.0005;-0.958;-2.246
1667;1.666;1.253;-1.526;-1.114;0.0166;-0.0198;0.0077;-4.702;-3.995
1668;1.667;-0.013;0.13;1.501;-0.0184;0.0039;-0.0011;7.719;-4.938
1669;1.668;-0.135;-2.9;3.652;-0.0066;-0.0629;0.0067;2.318;-2.81
1670;1.669;0.598;1.019;2.553;0.0117;0.0319;-0.0085;-3.368;0.152
1671;1.67;0.484;-0.146;6.74;0.0123;-0.0284;0.0056;-5.214;-0.716
1672;1.671;0.349;-1.097;8.034;-0.0122;-0.0071;0.0006;-0.287;-4.769
1673;1.672;0.522;1.079;4.123;0.0065;0.0147;0.0019;6.355;0.955
1674;1.673;-0.884;-0.126;11.744;-0.0194;0.0077;0.0024;-0.632;-5.443
1675;1.674;-2.003;-0.887;7.49;-0.0359;-0.0039;-0.0054;6.61;-4.762
1676;1.675;0.512;2.56;7.576;-0.0002;0.0379;0.0027;-5.804;-6.462
1677;1.676;2.169;-0.109;3.781;0.0313;0.0048;-0.0027;3.346;0.76
1678;1.677;1.517;0.019;3.966;0.0381;-0.0026;-0.0047;2.889;-5.707
1679;1.678;-0.321;0.32;6.029;-0.0125;0.0117;0.0006;5.906;4.094
1680;1.679;0.918;-0.206;1.013;0.0021;-0.0106;-0.004;-0.515;-5.84
1681;1.68;-0.66;0.588;5.192;-0.0217;0.013;0.0073;-2.598;0.293
1682;1.681;0.577;-0.644;1.029;0.0134;0.0004;-0.0002;8.187;6.183
1683;1.682;-0.912;0.97;3.437;-0.0158;0.033;-0.0023;-4.278;-6.94
1684;1.683;0.211;0.16;8.864;0.0109;-0.0011;0.0057;-0.81;-2.565
1685;1.684;3.004;0.097;4.682;0.0625;0.0068;0.0075;-5.677;0.31
1686;1.685;1.159;1.143;4.231;0.0218;0.0274;0.0007;10.47;1.98
1687;1.686;2.248;-1.436;7.025;0.031;-0.0322;-0.0045;-7.747;4.608
1688;1.687;-1.16;-0.059;0.362;-0.0111;-0.0184;-0.009;5.368;-1.241
1689;1.688;-1.029;0.731;6.147;-0.0081;0.0159;-0.0056;0.683;-2.022
1690;1.689;-0.059;1.102;4.617;-0.005;0.0018;-0.0057;0.961;7.029
1691;1.69;0.835;-0.326;3.95;0.0178;-0.0004;-0.0012;-1.957;-1.005
1692;1.691;-0.313;-0.78;5.156;-0.0108;0.0028;0.0085;-0.578;-1.488
1693;1.692;1.52;0.994;5.606;0.0237;0.0275;-0.0033;-3.081;1.096
1694;1.693;-0.826;-2.182;5.782;-0.0142;-0.0464;0.0009;-0.374;2.738
1695;1.694;2.04;1.241;-1.401;0.0396;0.0128;-0.0078;7.132;-4.797
1696;1.695;1.453;-2.155;2.351;0.0305;-0.0557;0.0026;-2.251;-0.704
1697;1.696;-1.674;-1.276;7.137;-0.0255;-0.0214;0.006;-12.318;-4.38
1698;1.697;0.874;1.073;0.907;0.0307;0.0047;0.0059;9.006;-0.961
1699;1.698;-0.336;-0.118;8.86;-0.0173;-0.0016;-0.0028;6.811;-4.759
1700;1.699;1.528;-1.124;4.082;0.0301;-0.0029;0.0053;-5.044;-3.129
1701;1.7;-0.806;1.41;1.138;-0.0245;0.0592;0.0058;1.593;-8.396
1702;1.701;0.467;0.332;14.604;0.0026;0.0114;-0.0021;0.635;-6.975
1703;1.702;0.819;-0.728;7.038;0.0145;-0.0172;-0.0059;-5.213;-3.058
1704;1.703;-4.131;0.655;7.757;-0.0924;0.0152;0.0062;5.668;2.454
1705;1.704;-2.82;0.4;2.498;-0.0501;-0.0056;-0.0015;6.55;2.352
1706;1.705;0.192;-0.301;5.557;0.0099;-0.0035;-0.0029;-2.068;-9.567
1707;1.706;-0.19;0.858;0.62;-0.0078;0.0067;-0.0006;-0.422;10.044
1708;1.707;1.524;0.544;5.029;0.0361;0.0176;0.0014;4.186;0.624
1709;1.708;0.339;-1.686;5.189;-0.003;-0.0192;-0.0046;1.333;0.323
1710;1.709;-1.906;0.233;7.994;-0.0213;-0.0028;-0.0025;3.452;6.914
1711;1.71;0.492;0.324;5.292;0.0292;0.0084;0.0035;-8.739;0.354
1712;1.711;-1.126;0.544;7.767;-0.0182;0.0172;0.0035;-0.122;1.784
1713;1.712;-0.344;-1.098;7.249;-0.0103;-0.0274;0.0008;-5.188;-0.904
1714;1.713;-0.764;1.133;11.562;-0.0202;0.022;0.0007;3.651;-6.116
1715;1.714;0.523;-1.82;7.57;0.0052;-0.0523;0.0038;-13.517;-4.184
1716;1.715;-2.133;-0.611;3.551;-0.0279;0.0035;-0.0016;3.151;-7.646
1717;1.716;-1.68;-0.402;6.863;-0.0315;-0.0109;0.0007;-3.691;5.961
1718;1.717;-3.336;0.037;0.993;-0.0574;-0.0063;-0.0122;3.378;1.641
1719;1.718;3.216;-0.26;4.251;0.073;-0.013;-0.0045;-1.33;-2.714
1720;1.719;-1.498;0.196;6.785;-0.0393;0.0116;0.0064;7.479;-11.611
1721;1.72;-1.296;0.588;6.731;-0.011;0.0093;0.0036;0.79;0.903
1722;1.721;-1.732;2.307;4.792;-0.0153;0.0421;0.0072;6.544;-4.602
1723;1.722;-0.967;-0.476;1.958;-0.0068;-0.0007;-0.0062;-5.284;-13.044
1724;1.723;-0.658;0.763;5.299;0.0021;0.0249;-0.004;1.497;0.084
1725;1.724;0.922;-0.297;-1.213;0.0118;-0.0128;-0.0017;-0.477;-5.388
1726;1.725;0.264;-0.075;8.092;0.0151;-0.0011;-0.0049;1.956;0.068
1727;1.726;0.492;-0.947;7.007;0.015;-0.0127;0.0011;-8.673;3.141
1728;1.727;-0.887;-0.574;0.969;-0.0224;-0.0135;0.0023;6.276;-11.347
1729;1.728;-0.11;1.541;5.323;0.0056;0.021;0.0006;-1.511;-4.514
1730;1.729;1.826;-0.098;5.097;0.0233;-0.0128;0.0031;13.54;2.765
1731;1.73;-0.034;0.339;3.763;0.0069;0.0037;0.0076;4.278;6.086
1732;1.731;0.458;-1.46;7.801;0.0103;-0.0402;0.0057;-0.673;-4.315
1733;1.732;-3.045;0.612;4.955;-0.0625;0.0175;-0.006;1.597;-6.125
1734;1.733;0.775;0.59;-0.887;0.0111;0.0047;0.0027;0.72;1.097
1735;1.734;0.387;0.436;-1.901;0.0017;0.0126;0.0036;7.495;4.167
1736;1.735;1.931;1.283;9.778;0.0396;0.0108;-0.0044;3.823;-2.914
1737;1.736;-4.129;0.028;5.028;-0.0934;-0.0045;0.0013;0.34;-2.853
1738;1.737;0.033;-0.701;1.476;0.0134;-0.0174;-0.0024;-8.372;2.236
1739;1.738;-0.193;0.566;0.776;-0.0008;0.0167;0.0044;0.405;0.204
1740;1.739;0.114;0.514;10.539;-0.0044;0.0012;0.0036;-2.443;-6.042
1741;1.74;-0.959;2.078;7.236;-0.0441;0.0277;-0.0007;-2.368;-3.327
1742;1.741;0.297;-0.469;-0.67;0.0105;-0.015;0.0018;9.122;1.391
1743;1.742;1.033;0.164;2.837;0.0157;-0.0078;-0.0004;3.342;1.071
1744;1.743;0.045;1.623;3.522;-0.0061;0.0399;-0.0034;-4.236;-4.346
1745;1.744;-0.463;-0.107;6.587;-0.0078;0.0094;0.0011;2.018;9.164
1746;1.745;-0.343;2.72;2.876;-0.0088;0.0586;-0.0016;-1.559;-7.687
1747;1.746;-0.607;2.644;6.278;-0.0166;0.0552;-0.001;0.779;-4.388
1748;1.747;0.034;0.148;4.267;-0.005;0.0032;-0.0039;-6.269;-0.282
1749;1.748;-1.104;0.877;0.761;-0.03;0.0258;-0.0036;-7.431;1.741
1750;1.749;-3.015;1.169;5.442;-0.0582;0.0202;0.0026;6.544;4.197
1751;1.75;2.004;-0.686;5.252;0.0414;-0.0026;-0.006;1.895;-6.858
1752;1.751;-2.667;-0.948;3.141;-0.0411;-0.0084;0.0003;3.29;-5.151
